Prefix,Type
143.64.0.0/16, MSFT Public IP Address Block 128
146.147.0.0/16, MSFT Public IP Address Block 129
147.145.0.0/16, MSFT Public IP Address Block 130
147.243.0.0/16, MSFT Public IP Address Block 131
148.7.0.0/16, MSFT Public IP Address Block 132
150.171.0.0/16, MSFT Public IP Address Block 133
150.242.48.0/22, MSFT Public IP Address Block 134
155.62.0.0/16, MSFT Public IP Address Block 135
157.54.0.0/15, MSFT Public IP Address Block 136
157.56.0.0/14, MSFT Public IP Address Block 137
157.60.0.0/16, MSFT Public IP Address Block 138
158.158.0.0/16, MSFT Public IP Address Block 139
159.27.0.0/16, MSFT Public IP Address Block 140
163.228.0.0/16, MSFT Public IP Address Block 141
167.105.0.0/16, MSFT Public IP Address Block 142
167.220.0.0/16, MSFT Public IP Address Block 143
168.61.0.0/16, MSFT Public IP Address Block 144
168.62.0.0/15, MSFT Public IP Address Block 145
169.138.0.0/16, MSFT Public IP Address Block 146
170.165.0.0/16, MSFT Public IP Address Block 147
191.232.0.0/13, MSFT Public IP Address Block 148
192.32.0.0/16, MSFT Public IP Address Block 149
192.48.225.0/24, MSFT Public IP Address Block 150
192.84.159.0/24, MSFT Public IP Address Block 151
192.84.160.0/23, MSFT Public IP Address Block 152
192.197.157.0/24, MSFT Public IP Address Block 153
192.237.67.0/24, MSFT Public IP Address Block 154
193.149.64.0/19, MSFT Public IP Address Block 155
193.221.113.0/24, MSFT Public IP Address Block 156
194.69.96.0/19, MSFT Public IP Address Block 157
194.110.197.0/24, MSFT Public IP Address Block 158
198.105.232.0/22, MSFT Public IP Address Block 159
198.137.97.0/24, MSFT Public IP Address Block 160
198.180.95.0/24, MSFT Public IP Address Block 161
198.180.96.0/23, MSFT Public IP Address Block 162
198.200.130.0/24, MSFT Public IP Address Block 163
198.206.164.0/24, MSFT Public IP Address Block 164
199.30.16.0/20, MSFT Public IP Address Block 165
199.60.28.0/24, MSFT Public IP Address Block 166
199.74.210.0/24, MSFT Public IP Address Block 167
199.103.90.0/23, MSFT Public IP Address Block 168
199.103.122.0/24, MSFT Public IP Address Block 169
199.242.32.0/20, MSFT Public IP Address Block 170
199.242.48.0/21, MSFT Public IP Address Block 171
202.89.224.0/20, MSFT Public IP Address Block 172
204.13.120.0/21, MSFT Public IP Address Block 173
204.14.180.0/22, MSFT Public IP Address Block 174
204.79.135.0/24, MSFT Public IP Address Block 175
204.79.179.0/24, MSFT Public IP Address Block 176
204.79.181.0/24, MSFT Public IP Address Block 177
204.79.188.0/24, MSFT Public IP Address Block 178
204.79.195.0/24, MSFT Public IP Address Block 179
204.79.196.0/23, MSFT Public IP Address Block 180
204.79.252.0/24, MSFT Public IP Address Block 181
204.152.18.0/23, MSFT Public IP Address Block 182
204.152.140.0/23, MSFT Public IP Address Block 183
204.231.192.0/24, MSFT Public IP Address Block 184
204.231.194.0/23, MSFT Public IP Address Block 185
204.231.197.0/24, MSFT Public IP Address Block 186
204.231.198.0/23, MSFT Public IP Address Block 187
204.231.200.0/21, MSFT Public IP Address Block 188
204.231.208.0/20, MSFT Public IP Address Block 189
204.231.236.0/24, MSFT Public IP Address Block 190
205.174.224.0/20, MSFT Public IP Address Block 191
